ID,Path,Size,MimeType,AgeDays,Score,RetentionBand,TargetPath,Operation,Snippet,Ext
1RcIImqWqsKXDi4aEnfAq2-N2wvtiB37c,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-06-15 at 1.18.04 PM.png,1551789,image/png,1725,42.5,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-06-15 at 1.18.04 PM.png,move,,.png
1FmcmqnDZXCkC2A2V7OraV5M7gpTisQ9Q,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-06-15 at 12.28.49 PM.png,1670809,image/png,1726,42.5,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-06-15 at 12.28.49 PM.png,move,,.png
1WOoJuKRdce2KVJ7Yhta2aLLBUpJviPnS,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-06-10 at 11.12.21 AM.png,146719,image/png,1731,42.3,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-06-10 at 11.12.21 AM.png,move,,.png
1bXdOJkMgYzmm_yBEYPrtkAXMEd0EQYc7,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-06-09 at 6.41.00 PM.png,252356,image/png,1731,42.3,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-06-09 at 6.41.00 PM.png,move,,.png
152oqn9Cma9U3XnE5IbWquXxcR0Ny6rti,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-06-08 at 3.31.47 PM.png,613219,image/png,1732,42.3,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-06-08 at 3.31.47 PM.png,move,,.png
1-JLvPqpdc7GfCB16nTe1mp3gI6PtrrKw,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-06-08 at 3.28.23 PM.png,91522,image/png,1732,42.3,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-06-08 at 3.28.23 PM.png,move,,.png
1LS7uBC2oas8TF2ePrOBykKD3TtfbCiHR,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-06-07 at 11.37.37 AM.png,58813,image/png,1734,42.2,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-06-07 at 11.37.37 AM.png,move,,.png
1gny7ko45fKKyLrz-OE1ZMshlqS4Kuqd9,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-06-07 at 11.25.35 AM.png,112593,image/png,1734,42.2,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-06-07 at 11.25.35 AM.png,move,,.png
11fy543q5pc7CGSMDjn3Gx0V9vpbj7EHB,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-06-07 at 11.04.15 AM.png,41055,image/png,1734,42.2,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-06-07 at 11.04.15 AM.png,move,,.png
1tco5d9imU9qPhVb5MlXpNPWjwqbwmDj2,1.Organize/Twister/dt/Product Mindset/Screen Shot 2021-06-07 at 10.43.21 AM.png,739886,image/png,1734,42.2,archive_candidate,03-Archive/Media & Assets/Screen Shot 2021-06-07 at 10.43.21 AM.png,move,,.png
